filename,trial1,trial2,trial3,trial4
1.sql,4.430,4.453,4.428,4.444
2.sql,0.180,0.090,0.085,0.094
3.sql,0.973,0.959,0.963,0.971
4.sql,0.963,0.969,0.972,0.964
5.sql,3.970,3.871,3.889,3.884
6.sql,4.686,4.681,4.719,4.652
7.sql,0.168,0.172,0.170,0.169
8.sql,0.600,0.600,0.602,0.618
9.sql,0.093,0.084,0.093,0.093
10.sql,0.506,0.501,0.515,0.500
11.sql,0.133,0.135,0.144,0.141
14.sql,0.316,0.300,0.316,0.310
15.sql,1.309,1.309,1.303,1.303
17.sql,3.083,3.072,3.075,3.068
18.sql,0.191,0.189,0.217,0.195
19.sql,0.147,0.147,0.149,0.150
20.sql,0.137,0.141,0.142,0.141
21.sql,1.666,1.675,1.673,1.675
22.sql,1.621,2.473,1.576,1.574
23.sql,4.068,4.049,4.089,4.037
24.sql,3.754,2.631,2.626,2.649
25.sql,0.655,0.651,0.656,0.659
26.sql,0.251,0.271,0.248,0.245
27.sql,1.585,1.587,1.635,1.587
28.sql,0.639,0.624,0.638,0.634
29.sql,0.440,0.453,0.407,0.413
30.sql,3.157,3.149,3.125,3.129
31.sql,0.754,0.758,0.788,0.772
32.sql,0.464,0.455,0.451,0.443
33.sql,0.598,0.604,0.607,0.613
34.sql,1.073,1.087,1.092,1.089
35.sql,1.961,1.979,1.963,1.980
36.sql,1.836,1.812,1.818,1.818
37.sql,2.208,2.200,2.634,2.153
38.sql,27.147,31.475,29.919,27.618
39.sql,0.149,0.143,0.147,0.145
40.sql,0.155,0.160,0.158,0.164
41.sql,14.264,14.277,14.210,14.145
42.sql,1.298,1.263,1.275,1.287
43.sql,0.480,0.468,0.483,0.468
44.sql,0.150,0.149,0.146,0.145
45.sql,6.312,6.336,6.342,6.320
46.sql,2.115,2.113,2.113,2.126
47.sql,0.222,0.207,0.204,0.198
48.sql,0.093,0.085,0.086,0.080
50.sql,0.190,0.192,0.201,0.195
51.sql,1.784,1.732,2.035,1.796
52.sql,3.587,3.604,3.614,3.619
53.sql,0.142,0.134,0.138,0.133
54.sql,4.805,4.829,4.854,4.848
55.sql,0.104,0.097,0.100,0.099
56.sql,20.701,29.888,20.587,20.910
57.sql,0.157,0.153,0.159,0.151
58.sql,0.149,0.154,0.138,0.161
59.sql,0.267,0.267,0.246,0.244
60.sql,2.793,2.792,2.820,2.798
61.sql,0.090,0.089,0.088,0.087
62.sql,0.122,0.167,0.122,0.117
63.sql,0.463,0.456,0.483,0.452
64.sql,0.964,0.948,0.947,0.944
65.sql,0.980,0.999,0.997,1.006
66.sql,0.268,0.269,0.248,0.258
67.sql,4.750,4.748,4.738,4.762
68.sql,0.600,0.595,0.586,0.573
69.sql,55.041,54.945,54.941,54.988
70.sql,0.240,0.238,0.238,0.236
71.sql,0.667,0.158,0.155,0.153
72.sql,0.112,0.117,0.111,0.111
73.sql,0.750,0.715,0.709,0.716
76.sql,1.751,1.747,1.752,1.734
77.sql,1.641,1.616,1.608,1.638
78.sql,0.593,0.600,0.569,0.604
80.sql,0.135,0.129,0.133,0.129
81.sql,0.382,0.367,0.358,0.345
82.sql,0.463,0.472,0.444,0.445
84.sql,3.840,3.821,3.848,3.824
85.sql,1.539,0.099,0.083,0.096
86.sql,2.274,2.223,2.218,2.202
87.sql,1.174,1.177,1.183,1.170
88.sql,43.873,43.886,43.746,44.005
89.sql,0.586,0.580,0.594,0.587
90.sql,1.189,1.206,1.208,1.188
91.sql,0.880,0.870,0.901,0.874
92.sql,0.052,0.047,0.053,0.051
93.sql,0.116,0.118,0.121,0.117
94.sql,0.061,0.052,0.059,0.060
95.sql,1.562,1.526,1.523,1.607
97.sql,0.099,0.095,0.094,0.094
99.sql,0.714,0.686,0.687,0.685
100.sql,0.560,0.554,0.550,0.544
101.sql,1.056,0.095,0.097,0.093
102.sql,0.106,0.107,0.107,0.105
103.sql,0.344,0.347,0.346,0.463
104.sql,0.098,0.096,0.096,0.097
105.sql,0.965,0.970,0.969,0.972
106.sql,2.484,2.489,2.483,2.481
107.sql,0.102,0.105,0.102,0.102
108.sql,2.490,2.504,2.507,2.485
110.sql,0.489,0.478,0.476,0.477
111.sql,2.958,2.735,2.782,2.764
112.sql,1.005,0.994,0.997,0.989
113.sql,2.192,2.196,2.217,2.187
114.sql,0.450,0.459,0.450,0.451
115.sql,0.077,0.076,0.077,0.077
116.sql,0.746,0.745,0.759,0.747
117.sql,0.135,0.132,0.127,0.128
118.sql,2.387,2.397,2.402,2.385
119.sql,0.951,0.966,0.988,0.984
120.sql,0.454,0.454,0.450,0.448
121.sql,5.997,6.028,6.147,6.016
122.sql,0.937,0.940,0.934,0.937
123.sql,0.117,0.120,0.125,0.131
124.sql,0.473,0.476,0.469,0.480
125.sql,0.461,0.436,0.430,0.432
126.sql,0.996,0.880,0.888,0.882
127.sql,2.415,2.418,2.413,2.902
128.sql,2.948,2.959,3.029,2.970
129.sql,4.326,4.278,4.372,4.296
130.sql,0.176,0.171,0.172,0.174
131.sql,2.305,0.521,0.522,0.545
132.sql,0.143,0.142,0.139,0.139
133.sql,0.069,0.069,0.069,0.069
134.sql,20.698,25.918,20.715,20.812
135.sql,0.151,0.106,0.109,0.110
136.sql,0.213,0.088,0.089,0.091
139.sql,1.300,1.298,1.283,1.328
140.sql,0.343,0.329,0.440,0.328
141.sql,1.499,1.503,1.505,1.493
142.sql,1.045,1.043,1.049,1.046
143.sql,0.097,0.130,0.098,0.096
144.sql,0.580,0.565,0.571,0.567
145.sql,0.139,0.136,0.141,0.140
146.sql,0.417,0.415,0.417,0.417
147.sql,5.148,5.283,5.165,5.096
148.sql,16.635,16.601,16.735,15.975
149.sql,6.200,6.146,6.128,6.098
150.sql,0.872,0.856,0.973,0.868
151.sql,0.365,0.376,0.373,0.381
152.sql,2.069,2.122,2.107,2.125
153.sql,1.645,1.643,1.629,1.645
154.sql,0.046,0.047,0.048,0.048
155.sql,4.207,3.954,3.940,3.994
156.sql,0.627,0.619,0.616,0.643
158.sql,0.145,0.143,0.143,0.140
159.sql,0.407,0.446,0.437,0.434
160.sql,0.189,0.187,0.185,0.186
161.sql,0.288,0.279,0.259,0.261
162.sql,1.773,1.779,1.775,1.777
163.sql,0.178,0.181,0.177,0.186
164.sql,0.546,0.515,0.519,0.517
165.sql,2.001,2.007,2.004,2.002
166.sql,0.103,0.102,0.101,0.099
167.sql,0.672,0.673,0.673,0.681
168.sql,0.087,0.086,0.090,0.085
169.sql,1.201,1.211,1.206,1.212
171.sql,5.416,7.458,5.355,5.349
172.sql,0.132,0.119,0.120,0.129
173.sql,46.722,48.056,45.865,52.110
174.sql,0.099,0.093,0.096,0.096
175.sql,4.976,4.953,5.096,4.953
176.sql,0.147,0.150,0.147,0.148
177.sql,0.125,0.120,0.123,0.125
178.sql,0.562,0.565,0.573,0.569
179.sql,0.680,0.692,0.699,0.694
180.sql,0.109,0.110,0.111,0.108
181.sql,0.139,0.137,0.141,0.150
183.sql,0.137,0.141,0.141,0.138
184.sql,0.110,0.114,0.110,0.111
185.sql,0.093,0.100,0.093,0.092
186.sql,2.051,1.987,2.004,2.010
187.sql,2.673,2.613,2.619,2.624
188.sql,0.065,0.069,0.079,0.063
189.sql,0.103,0.091,0.097,0.094
190.sql,0.420,0.410,0.397,0.391
191.sql,0.428,0.429,0.435,0.433
192.sql,1.385,1.295,1.298,1.302
194.sql,0.047,0.047,0.046,0.045
195.sql,0.265,0.265,0.268,0.266
196.sql,0.417,0.426,0.423,0.425
197.sql,1.639,0.959,0.958,0.959
198.sql,0.146,0.126,0.125,0.133
199.sql,1.204,1.204,1.203,1.199
200.sql,0.541,0.548,0.547,0.541
201.sql,0.178,0.171,0.166,0.188
202.sql,1.924,1.933,1.924,1.935
203.sql,0.097,0.078,0.081,0.078
204.sql,0.148,0.145,0.157,0.149
205.sql,0.110,0.107,0.129,0.110
206.sql,0.111,0.104,0.122,0.108
207.sql,13.703,7.940,7.550,7.542
208.sql,0.136,0.132,0.128,0.117
209.sql,0.355,0.359,0.358,0.355
210.sql,0.065,0.051,0.048,0.048
211.sql,0.145,0.150,0.152,0.149
212.sql,0.095,0.094,0.093,0.094
213.sql,0.097,0.098,0.108,0.099
214.sql,1.884,1.884,1.888,1.884
215.sql,0.114,0.121,0.114,0.110
216.sql,0.130,0.131,0.128,0.125
217.sql,9.515,8.445,10.857,8.835
218.sql,0.126,0.141,0.132,0.128
219.sql,0.132,0.138,0.139,0.135
221.sql,1.696,1.694,1.692,1.695
222.sql,2.729,2.728,2.729,2.730
223.sql,0.108,0.102,0.179,0.096
224.sql,0.255,0.277,0.261,0.257
225.sql,0.891,0.895,0.900,0.917
226.sql,0.108,0.106,0.104,0.104
227.sql,0.130,0.130,0.129,0.135
228.sql,0.127,0.133,0.128,0.141
229.sql,1.206,1.212,1.222,1.220
230.sql,3.063,3.062,3.084,3.079
231.sql,0.123,0.124,0.109,0.112
232.sql,0.376,0.383,0.408,0.381
233.sql,0.634,0.633,0.634,0.635
234.sql,0.119,0.118,0.122,0.117
235.sql,1.419,1.414,1.420,1.439
237.sql,0.123,0.110,0.106,0.115
238.sql,0.194,0.196,0.204,0.198
239.sql,0.131,0.119,0.122,0.113
240.sql,1.778,1.796,1.780,1.788
241.sql,0.345,0.350,0.354,0.351
242.sql,0.663,0.666,0.663,0.659
243.sql,0.079,0.066,0.070,0.070
244.sql,0.065,0.066,0.079,0.074
245.sql,1.056,1.058,1.873,1.085
